,sum_of_squares_diff,keypoint_flow,all_features
ThresholdClassifier,0.7577464788732394,0.664241542379047,0.0
SVM,0.768976897689769,0.6459143968871596,0.7975308641975308
TransNetV2,0.885514977431268,0.885514977431268,0.885514977431268
